VOC_Date	WeeklyCases	InfectionProp	InfectionGroup	AntigenicDistanceT1	NTD	RBD	SpikeOther	VOC	Date
Delta_44374	1628634.427	0.068041512	A075	0.08675888	0.041282993	0.007114452	0.038361435	Delta	2021-06-27
Delta_44381	2094704.129	0.087646876	A075	0.054996861	0.02534144	0.005025836	0.024629585	Delta	2021-07-04
Delta_44388	2559222.053	0.111599891	A075	0.073111431	0.036191821	0.005144634	0.031774976	Delta	2021-07-11
Delta_44395	2920462.278	0.13893393	A075	0.077840607	0.056846267	0.003895156	0.017099185	Delta	2021-07-18
Delta_44402	3441473.157	0.171144366	A075	0.046653219	0.026894929	0.003575335	0.016182955	Delta	2021-07-25
Delta_44409	3814691.27	0.206847934	A075	0.048469391	0.030232939	0.003463948	0.014772503	Delta	2021-08-01
Delta_44416	3973552.099	0.244038357	A075	0.043120274	0.023436671	0.006010899	0.013672705	Delta	2021-08-08
Delta_44423	4243261.456	0.283753123	A075	0.080998152	0.058708998	0.006904411	0.015384743	Delta	2021-08-15
Delta_44430	4300086.095	0.323999739	A075	0.047860056	0.030268676	0.003725847	0.013865533	Delta	2021-08-22
Delta_44437	4431466.556	0.365476009	A075	0.071757064	0.05255988	0.003749735	0.015447449	Delta	2021-08-29
Delta_44444	4230353.739	0.405069965	A075	0.041729937	0.02532579	0.003920786	0.012483361	Delta	2021-09-05
Delta_44451	3952410.32	0.442062513	A075	0.050756604	0.033126041	0.003810858	0.013819705	Delta	2021-09-12
Delta_44458	3673164.113	0.476441458	A075	0.036473089	0.017789534	0.004073512	0.014610044	Delta	2021-09-19
Delta_44465	3409299.909	0.508350769	A075	0.043448719	0.023063034	0.004222654	0.016163032	Delta	2021-09-26
Delta_44472	3173566.36	0.538053734	A075	0.042490892	0.017946465	0.00557608	0.018968347	Delta	2021-10-03
Delta_44479	2974349.435	0.565892129	A075	0.048398317	0.020186137	0.005240553	0.022971627	Delta	2021-10-10
Delta_44486	2940203.06	0.593410933	A075	0.043620176	0.017974738	0.004823234	0.020822204	Delta	2021-10-17
Delta_44493	3000500.767	0.621494092	A075	0.064757366	0.038089851	0.005048432	0.021619084	Delta	2021-10-24
Delta_44500	3099573.62	0.650504522	A075	0.047615491	0.025265532	0.004436332	0.017913627	Delta	2021-10-31
Delta_44507	3257478.888	0.680992865	A075	0.042080664	0.019553643	0.005373213	0.017153807	Delta	2021-11-07
Delta_44514	3503193.921	0.713780976	A075	0.068753853	0.047475895	0.005307019	0.015970939	Delta	2021-11-14
Delta_44521	3789547.058	0.749249206	A075	0.037705535	0.020538441	0.003985318	0.013181776	Delta	2021-11-21
Delta_44528	4040695.234	0.787068056	B75100	0.050880669	0.029875332	0.005650889	0.015354447	Delta	2021-11-28
Delta_44535	4169583.535	0.826093234	B75100	0.038237399	0.017631114	0.005496764	0.015109521	Delta	2021-12-05
Delta_44542	4245572.316	0.865829628	B75100	0.041137523	0.021222982	0.004105722	0.015808819	Delta	2021-12-12
Delta_44549	4059374.989	0.903823311	B75100	0.069771104	0.046990469	0.005492343	0.017288292	Delta	2021-12-19
Delta_44556	3525661.837	0.93682171	B75100	0.080581561	0.048287719	0.010223429	0.022070412	Delta	2021-12-26
Delta_44563	2881766.924	0.963793581	B75100	0.075429983	0.031549826	0.013057954	0.030822203	Delta	2022-01-02
Delta_44570	2018984.214	0.982690244	B75100	0.103105746	0.038591122	0.02118686	0.043327764	Delta	2022-01-09
Delta_44577	967993.4854	0.99175017	B75100	0.122658819	0.051206802	0.02626661	0.045185407	Delta	2022-01-16
Delta_44584	444086.3032	0.995906592	B75100	0.14234603	0.058880154	0.030904513	0.052561363	Delta	2022-01-23
Delta_44591	219080.3087	0.997957072	B75100	0.169907495	0.067212449	0.033502993	0.069192054	Delta	2022-01-30
Delta_44598	102434.6842	0.998915809	B75100	0.217582675	0.088826118	0.049424919	0.079331638	Delta	2022-02-06
WT_43863	122	1.57E-06	A075	0	0	0	0	WT	2020-02-02
WT_43870	244	3.69E-06	A075	0.116593393	0.045881546	0.023727143	0.046984704	WT	2020-02-09
WT_43877	580	8.72E-06	A075	0.084632313	0.022645036	0.01053086	0.051456417	WT	2020-02-16
WT_43884	2289	2.86E-05	A075	0.073907903	0.03400083	0.00096325	0.038943822	WT	2020-02-23
WT_43891	8594	0.000103081	A075	0.084547222	0.016289257	0.002717646	0.065540319	WT	2020-03-01
WT_43898	28273.01216	0.000348228	A075	0.104947925	0.023041866	0.006611131	0.075294928	WT	2020-03-08
WT_43905	83430.88133	0.001071632	A075	0.056463514	0.01817466	0.006924359	0.031364495	WT	2020-03-15
WT_43912	193600.0704	0.00275028	A075	0.039348579	0.00982014	0.002254587	0.027273852	WT	2020-03-22
WT_43919	328735.9479	0.00560065	A075	0.030795691	0.007771024	0.002535019	0.020489648	WT	2020-03-29
WT_43926	445456.4733	0.00946307	A075	0.047610375	0.011077535	0.00259773	0.03393511	WT	2020-04-05
WT_43933	497361.8119	0.013775544	A075	0.040447494	0.013149576	0.00401057	0.023287349	WT	2020-04-12
WT_43940	522636.9652	0.018307172	A075	0.043023725	0.011257999	0.005252084	0.026513641	WT	2020-04-19
WT_43947	529778.2594	0.02290072	A075	0.044385469	0.012235669	0.006278387	0.025871413	WT	2020-04-26
WT_43954	555630.3056	0.027718424	A075	0.05353534	0.0159227	0.007338279	0.030274361	WT	2020-05-03
WT_43961	579080.6003	0.032739457	A075	0.061642178	0.021017223	0.010978606	0.02964635	WT	2020-05-10
WT_43968	628509.1195	0.038189071	A075	0.065676658	0.02456879	0.010345059	0.03076281	WT	2020-05-17
WT_43975	678548.6555	0.044072562	A075	0.06104706	0.025470859	0.007288723	0.028287479	WT	2020-05-24
WT_43982	756745.3333	0.050634073	A075	0.078128643	0.026656783	0.008527743	0.042944116	WT	2020-05-31
WT_43989	825116.3732	0.057788409	A075	0.070086253	0.023757737	0.009064906	0.03726361	WT	2020-06-07
WT_43996	925895.1033	0.065816567	A075	0.072563584	0.029847574	0.008188419	0.034527591	WT	2020-06-14
WT_44003	1030539.333	0.074752064	A075	0.064513109	0.0251932	0.007253044	0.032066865	WT	2020-06-21
WT_44010	1172533	0.084918745	A075	0.068811842	0.024653819	0.013037866	0.031120156	WT	2020-06-28
WT_44017	1304411.962	0.096228909	A075	0.071525107	0.023357261	0.015525296	0.03264255	WT	2020-07-05
WT_44024	1439765.351	0.108712681	A075	0.072233628	0.023406558	0.018205974	0.030621096	WT	2020-07-12
WT_44031	1573526.887	0.12235626	A075	0.087849485	0.026267103	0.030901377	0.030681004	WT	2020-07-19
WT_44038	1717559.467	0.137248702	A075	0.07769641	0.026488076	0.020585845	0.030622489	WT	2020-07-26
WT_44045	1803950.672	0.152890215	A075	0.066801623	0.024715271	0.012111839	0.029974513	WT	2020-08-02
WT_44052	1852842.851	0.168955659	A075	0.075363321	0.028233263	0.020116627	0.027013431	WT	2020-08-09
WT_44059	1843723.606	0.184942032	A075	0.098330609	0.038387276	0.026730224	0.033213108	WT	2020-08-16
WT_44066	1859482.229	0.201065043	A075	0.074904681	0.029647274	0.012106154	0.033151253	WT	2020-08-23
WT_44073	1893492.973	0.217482951	A075	0.080500905	0.031410252	0.016387412	0.032703241	WT	2020-08-30
WT_44080	1938192.016	0.234288431	A075	0.082355735	0.035837251	0.01208735	0.034431134	WT	2020-09-06
WT_44087	2008272.885	0.251701561	A075	0.08611618	0.040140828	0.013853521	0.032121831	WT	2020-09-13
WT_44094	2050157.837	0.269477864	A075	0.069909924	0.026302792	0.010175142	0.03343199	WT	2020-09-20
WT_44101	2108738.519	0.287762101	A075	0.078397318	0.036935607	0.01209114	0.029370572	WT	2020-09-27
WT_44108	2199656.242	0.306834659	A075	0.067155798	0.024317794	0.008979799	0.033858205	WT	2020-10-04
WT_44115	2363259.202	0.327325769	A075	0.07799581	0.036014221	0.006279673	0.035701915	WT	2020-10-11
WT_44122	2678676.618	0.350551768	A075	0.070288997	0.027708348	0.012303274	0.030277375	WT	2020-10-18
WT_44129	3062606.556	0.377106709	A075	0.069634851	0.032295071	0.01068694	0.02665284	WT	2020-10-25
WT_44136	3469492.525	0.407189635	A075	0.080274762	0.037007859	0.013958636	0.029308267	WT	2020-11-01
WT_44143	3761753.638	0.43980667	A075	0.074620415	0.037495925	0.011005838	0.026118653	WT	2020-11-08
WT_44150	3875543.333	0.473410341	A075	0.070255427	0.023212915	0.014337341	0.032705171	WT	2020-11-15
WT_44157	3923558.924	0.50743034	A075	0.094339814	0.045377772	0.011100444	0.037861597	WT	2020-11-22
WT_44164	3945776.403	0.541642981	A075	0.094049312	0.041193504	0.017650098	0.03520571	WT	2020-11-29
WT_44171	4073907.52	0.576966608	A075	0.106004828	0.053351445	0.018312312	0.034341071	WT	2020-12-06
WT_44178	3970522.103	0.611393811	A075	0.112736835	0.053519044	0.02454084	0.034676951	WT	2020-12-13
WT_44185	3592743.019	0.642545406	A075	0.067367113	0.028769262	0.013535419	0.025062433	WT	2020-12-20
WT_44192	3595788.114	0.673723403	A075	0.104189186	0.045484158	0.026025417	0.032679611	WT	2020-12-27
WT_44199	3479971.918	0.703897193	A075	0.097529255	0.047983992	0.017013887	0.032531376	WT	2021-01-03
WT_44206	3625025.322	0.735328698	A075	0.101472859	0.047223957	0.026759423	0.027489479	WT	2021-01-10
WT_44213	3377559.525	0.764614501	B75100	0.08346421	0.033762033	0.020050015	0.029652163	WT	2021-01-17
WT_44220	2882083.407	0.789604179	B75100	0.077435833	0.034080081	0.014134116	0.029221635	WT	2021-01-24
WT_44227	1988049.798	0.806841961	B75100	0.106441164	0.047090912	0.02779284	0.031557412	WT	2021-01-31
WT_44234	1843131.408	0.822823199	B75100	0.105459957	0.042141119	0.025802498	0.03751634	WT	2021-02-07
WT_44241	1431047.533	0.835231382	B75100	0.144259839	0.053788047	0.041460783	0.049011009	WT	2021-02-14
WT_44248	1153986.426	0.845237251	B75100	0.106884175	0.042074835	0.024163298	0.040646042	WT	2021-02-21
WT_44255	1060687.904	0.854434157	B75100	0.15993527	0.068491761	0.043698633	0.047744876	WT	2021-02-28
WT_44262	1003003.267	0.863130897	B75100	0.13541977	0.052332041	0.036366166	0.046721563	WT	2021-03-07
WT_44269	893707.7093	0.870879968	B75100	0.174899641	0.073736952	0.046255057	0.054907631	WT	2021-03-14
WT_44276	896626.2187	0.878654344	B75100	0.193006925	0.083990587	0.058164352	0.050851986	WT	2021-03-21
WT_44283	939767.2554	0.886802783	B75100	0.333538482	0.156402582	0.09281349	0.08432241	WT	2021-03-28
WT_44290	1090205.217	0.896255625	B75100	0.151878682	0.052914863	0.049175186	0.049788632	WT	2021-04-04
WT_44297	1172265.77	0.906419989	B75100	0.324220368	0.158109908	0.080846511	0.08526395	WT	2021-04-11
WT_44304	1126403.099	0.916186692	B75100	0.127650907	0.054281693	0.02455844	0.048810774	WT	2021-04-18
WT_44311	1106226.446	0.925778448	B75100	0.284318433	0.125661657	0.08515588	0.073500896	WT	2021-04-25
WT_44318	1100278.844	0.935318635	B75100	0.278202825	0.129213836	0.07219722	0.076791768	WT	2021-05-02
WT_44325	976439.0452	0.943785045	B75100	0.158978305	0.0641463	0.041288928	0.053543077	WT	2021-05-09
WT_44332	814188.4077	0.950844628	B75100	0.344882257	0.15050207	0.1045533	0.089826887	WT	2021-05-16
WT_44339	701329.1142	0.956925642	B75100	0.399579975	0.18837104	0.105680166	0.10552877	WT	2021-05-23
WT_44346	557446.1385	0.961759089	B75100	0.228947915	0.093577532	0.060594527	0.074775857	WT	2021-05-30
WT_44353	509992.5088	0.966181081	B75100	0.262123305	0.109905623	0.070546884	0.081670798	WT	2021-06-06
WT_44360	461466.7776	0.970182321	B75100	0.199982935	0.094179567	0.038376803	0.067426565	WT	2021-06-13
WT_44367	473873.2918	0.974291134	B75100	0.239341311	0.117753463	0.047360453	0.074227395	WT	2021-06-20
WT_44374	368541.3127	0.977486644	B75100	0.252346176	0.104689633	0.069526652	0.078129891	WT	2021-06-27
WT_44381	345361.9496	0.980481174	B75100	0.327103343	0.142738685	0.093567933	0.090796725	WT	2021-07-04
WT_44388	287059.0879	0.982970177	B75100	0.283750204	0.134062726	0.063277044	0.086410433	WT	2021-07-11
WT_44395	336392.6838	0.985886937	B75100	0.36495721	0.176980889	0.093100894	0.094875426	WT	2021-07-18
WT_44402	195602.0527	0.987582943	B75100	0.470691549	0.206744485	0.129590009	0.134357055	WT	2021-07-25
WT_44409	147046.5515	0.98885794	B75100	0.295560809	0.134887578	0.071432031	0.089241199	WT	2021-08-01
WT_44416	314191.7698	0.991582202	B75100	1.252333262	0.58449299	0.389282076	0.278558195	WT	2021-08-08
WT_44423	145899.8274	0.992847256	B75100	0.641890203	0.299605181	0.180356787	0.161928235	WT	2021-08-15
WT_44430	232243.8442	0.994860972	B75100	1.575644358	0.486950205	0.69638544	0.392308713	WT	2021-08-22
WT_44437	55619.4604	0.995343232	B75100	2.439188812	0.870650997	0.970326825	0.59821099	WT	2021-08-29
WT_44444	42020.56009	0.99570758	B75100	0.261173518	0.114701598	0.042323294	0.104148626	WT	2021-09-05
WT_44451	31155.95716	0.995977723	B75100	0.341065967	0.150744639	0.082231768	0.10808956	WT	2021-09-12
WT_44458	29030.75314	0.99622944	B75100	0.678544816	0.316724197	0.191516881	0.170303738	WT	2021-09-19
XBB_44836	25280.84761	0.002396426	A075	0	0	0	0	XBB	2022-10-02
XBB_44843	42457.51078	0.004607474	A075	0.216130507	0.115166691	0.070621397	0.030342418	XBB	2022-10-09
XBB_44850	42361.84436	0.00681354	A075	0.120740644	0.06929157	0.02965412	0.021794954	XBB	2022-10-16
XBB_44857	43576.31661	0.009082851	A075	0.161510645	0.084984313	0.053495562	0.023030771	XBB	2022-10-23
XBB_44864	37403.90755	0.011030724	A075	0.148760113	0.084379671	0.043295498	0.021084945	XBB	2022-10-30
XBB_44871	52352.54816	0.013757073	A075	0.143060205	0.062363314	0.051358572	0.02933832	XBB	2022-11-06
XBB_44878	69188.70413	0.017360193	A075	0.145413287	0.072862126	0.037544165	0.035006996	XBB	2022-11-13
XBB_44885	83190.51582	0.021692482	A075	0.151758068	0.062992422	0.050883779	0.037881867	XBB	2022-11-20
XBB_44892	114930.6417	0.027677692	A075	0.171657877	0.097446506	0.037944814	0.036266557	XBB	2022-11-27
XBB_44899	169163.9377	0.036487195	A075	0.190669806	0.107507015	0.059094482	0.024068309	XBB	2022-12-04
XBB_44906	227641.3505	0.048342008	A075	0.114801809	0.045935634	0.046210091	0.022656083	XBB	2022-12-11
XBB_44913	252392.2284	0.061485767	A075	0.172069824	0.068429912	0.079251071	0.024388841	XBB	2022-12-18
XBB_44920	257933.6621	0.074918105	A075	0.21705651	0.083685898	0.100461232	0.032909381	XBB	2022-12-25
XBB_44927	295740.035	0.090319274	A075	0.255479078	0.083400886	0.137125478	0.034952714	XBB	2023-01-01
XBB_44934	339540.2852	0.108001417	A075	0.217074292	0.077267201	0.109671664	0.030135428	XBB	2023-01-08
XBB_44941	427472.1177	0.130262761	A075	0.146397329	0.05330936	0.068247094	0.024840875	XBB	2023-01-15
XBB_44948	464889.0437	0.154472655	A075	0.146143757	0.04506409	0.075536251	0.025543416	XBB	2023-01-22
XBB_44955	472112.4333	0.17905872	A075	0.09630447	0.025810343	0.046252881	0.024241246	XBB	2023-01-29
XBB_44962	480276.9024	0.204069964	A075	0.084034451	0.024403981	0.038477818	0.021152652	XBB	2023-02-05
XBB_44969	530918.1635	0.231718438	A075	0.07874908	0.026660964	0.032305337	0.019782779	XBB	2023-02-12
XBB_44976	556660.2072	0.260707473	A075	0.064975451	0.020352428	0.022404188	0.022218836	XBB	2023-02-19
XBB_44983	598038.7201	0.291851366	A075	0.060714225	0.020895992	0.019721063	0.02009717	XBB	2023-02-26
XBB_44990	616031.5132	0.323932263	A075	0.068412026	0.027302123	0.020228424	0.020881479	XBB	2023-03-05
XBB_44997	584865.4725	0.354390136	A075	0.074309234	0.027384768	0.022188511	0.024735955	XBB	2023-03-12
XBB_45004	567077.9477	0.383921693	A075	0.091100391	0.03291586	0.032288735	0.025895796	XBB	2023-03-19
XBB_45011	558026.5979	0.412981885	A075	0.101907593	0.034346916	0.038822023	0.028738654	XBB	2023-03-26
XBB_45018	609676.5453	0.444731837	A075	0.132767921	0.048380063	0.052840025	0.031547833	XBB	2023-04-02
XBB_45025	620995.3362	0.477071235	A075	0.118352101	0.042122314	0.047024585	0.029205202	XBB	2023-04-09
XBB_45032	616434.2108	0.509173104	A075	0.117224915	0.04066166	0.044948681	0.031614574	XBB	2023-04-16
XBB_45039	615703.7793	0.541236934	A075	0.102618423	0.040483959	0.034105114	0.02802935	XBB	2023-04-23
XBB_45046	599682.1891	0.572466413	A075	0.116127703	0.040307392	0.044524732	0.03129558	XBB	2023-04-30
XBB_45053	558005.8683	0.601525526	A075	0.116770857	0.04507126	0.037674491	0.034025107	XBB	2023-05-07
XBB_45060	472213.0393	0.62611683	A075	0.118288882	0.047711507	0.036070759	0.034506616	XBB	2023-05-14
XBB_45067	393873.4408	0.646628465	A075	0.139612523	0.052903033	0.053111189	0.033598301	XBB	2023-05-21
XBB_45074	310281.3808	0.6627869	A075	0.133000503	0.045711974	0.053392332	0.033896197	XBB	2023-05-28
XBB_45081	274271.8933	0.67707008	A075	0.118663838	0.049845062	0.033540302	0.035278474	XBB	2023-06-04
XBB_45088	211279.8959	0.688072843	A075	0.133239914	0.050556382	0.046853149	0.035830383	XBB	2023-06-11
XBB_45095	192206.7971	0.698082341	A075	0.14788731	0.060475689	0.049638601	0.03777302	XBB	2023-06-18
XBB_45102	162960.5246	0.70656879	A075	0.126768158	0.052431775	0.041571623	0.03276476	XBB	2023-06-25
XBB_45109	177764.4755	0.71582618	A075	0.132565682	0.050285939	0.0497242	0.032555543	XBB	2023-07-02
XBB_45116	176481.0459	0.725016734	A075	0.139589389	0.058825283	0.041636696	0.03912741	XBB	2023-07-09
XBB_45123	200800.5529	0.735473767	A075	0.133548578	0.049433199	0.043829001	0.040286377	XBB	2023-07-16
XBB_45130	247056.8933	0.748339678	A075	0.133189374	0.048409962	0.042953691	0.041825722	XBB	2023-07-23
XBB_45137	410805.4446	0.769733077	B75100	0.131289033	0.057252082	0.035948423	0.038088528	XBB	2023-07-30
XBB_45144	372368.1556	0.789124787	B75100	0.137267497	0.057674121	0.049886374	0.029707002	XBB	2023-08-06
XBB_45151	364260.6697	0.808094286	B75100	0.117959031	0.042932979	0.040632492	0.034393559	XBB	2023-08-13
XBB_45158	255687.2619	0.821409639	B75100	0.127214416	0.050817095	0.044336201	0.03206112	XBB	2023-08-20
XBB_45165	323282.4252	0.838245126	B75100	0.117584226	0.047912592	0.039664779	0.030006855	XBB	2023-08-27
XBB_45172	308790.9544	0.854325945	B75100	0.108841664	0.043674692	0.035232906	0.029934066	XBB	2023-09-03
XBB_45179	233880.988	0.866505698	B75100	0.112656739	0.043869511	0.037241354	0.031545874	XBB	2023-09-10
XBB_45186	166854.0444	0.875194909	B75100	0.128340927	0.045423372	0.053819394	0.029098161	XBB	2023-09-17
XBB_45193	138953.109	0.882431131	B75100	0.11581971	0.039611715	0.047395388	0.028812607	XBB	2023-09-24
XBB_45200	149573.8692	0.890220446	B75100	0.119493978	0.046086792	0.043619429	0.029787756	XBB	2023-10-01
XBB_45207	150366.2146	0.898051025	B75100	0.154785257	0.057386651	0.066437076	0.03096153	XBB	2023-10-08
XBB_45214	143161.3715	0.905506399	B75100	0.14736865	0.0543733	0.06210296	0.03089239	XBB	2023-10-15
XBB_45221	135020.4194	0.912537819	B75100	0.161314955	0.055885469	0.071915002	0.033514484	XBB	2023-10-22
XBB_45228	135094.395	0.919573091	B75100	0.120586625	0.046665209	0.036851795	0.037069621	XBB	2023-10-29
XBB_45235	141018.814	0.926916888	B75100	0.201800534	0.073146019	0.093837117	0.034817398	XBB	2023-11-05
XBB_45242	159260.6328	0.935210659	B75100	0.122465583	0.05213864	0.037992183	0.032334761	XBB	2023-11-12
XBB_45249	174203.1922	0.944282589	B75100	0.168167912	0.059700074	0.075255604	0.033212234	XBB	2023-11-19
XBB_45256	189494.4683	0.954150838	B75100	0.131917137	0.055521005	0.044770115	0.031626017	XBB	2023-11-26
XBB_45263	192448.2876	0.964172913	B75100	0.12869157	0.045987716	0.052054929	0.030648925	XBB	2023-12-03
XBB_45270	187321.906	0.973928022	B75100	0.138615588	0.052997546	0.045115793	0.04050225	XBB	2023-12-10
XBB_45277	163544.1041	0.982444862	B75100	0.154441592	0.058641528	0.050668963	0.045131102	XBB	2023-12-17
XBB_45284	124917.4252	0.988950151	B75100	0.184490372	0.068252819	0.066376641	0.049860913	XBB	2023-12-24
XBB_45291	79895.86756	0.993110866	B75100	0.186932428	0.069734171	0.071104318	0.046093939	XBB	2023-12-31
XBB_45298	50685.18621	0.995750384	B75100	0.191653011	0.078434934	0.057758473	0.055459604	XBB	2024-01-07
XBB_45305	31155.85842	0.997372879	B75100	0.210024937	0.082069013	0.068620606	0.059335318	XBB	2024-01-14
XBB_45312	19178.05859	0.998371609	B75100	0.257532967	0.089304725	0.096464723	0.071763519	XBB	2024-01-21
XBB_45319	10882.59305	0.998938339	B75100	0.312052601	0.112797525	0.116273005	0.082982072	XBB	2024-01-28
