Lineage	Alias	VOCGroup
B.1.1.421	B.1.1.421	WT
B.1.1.422	B.1.1.422	WT
B.1.1.423	B.1.1.423	WT
B.1.1.424	B.1.1.424	WT
B.1.1.425	B.1.1.425	WT
B.1.1.426	B.1.1.426	WT
B.1.1.427	B.1.1.427	WT
B.1.1.428	B.1.1.428	WT
B.1.1.429	B.1.1.429	WT
B.1.1.43	B.1.1.43	WT
B.1.1.430	B.1.1.430	WT
B.1.1.431	B.1.1.431	WT
B.1.1.432	B.1.1.432	WT
B.1.1.433	B.1.1.433	WT
B.1.1.434	B.1.1.434	WT
B.1.1.435	B.1.1.435	WT
B.1.1.436	B.1.1.436	WT
B.1.1.437	B.1.1.437	WT
B.1.1.438	B.1.1.438	WT
B.1.1.44	B.1.1.44	WT
B.1.1.440	B.1.1.440	WT
B.1.1.441	B.1.1.441	WT
B.1.1.442	B.1.1.442	WT
B.1.1.444	B.1.1.444	WT
B.1.1.445	B.1.1.445	WT
B.1.1.446	B.1.1.446	WT
B.1.1.447	B.1.1.447	WT
B.1.1.448	B.1.1.448	WT
B.1.1.449	B.1.1.449	WT
B.1.1.45	B.1.1.45	WT
B.1.1.450	B.1.1.450	WT
B.1.1.451	B.1.1.451	WT
B.1.1.452	B.1.1.452	WT
B.1.1.453	B.1.1.453	WT
B.1.1.456	B.1.1.456	WT
B.1.1.458	B.1.1.458	WT
B.1.1.459	B.1.1.459	WT
B.1.1.46	B.1.1.46	WT
B.1.1.461	B.1.1.461	WT
B.1.1.462	B.1.1.462	WT
B.1.1.463	B.1.1.463	WT
B.1.1.464	B.1.1.464	WT
AW.1	B.1.1.464.1	WT
B.1.1.465	B.1.1.465	WT
B.1.1.466	B.1.1.466	WT
B.1.1.467	B.1.1.467	WT
B.1.1.47	B.1.1.47	WT
B.1.1.48	B.1.1.48	WT
B.1.1.480	B.1.1.480	WT
B.1.1.481	B.1.1.481	WT
B.1.1.482	B.1.1.482	WT
AV.1	B.1.1.482.1	WT
B.1.1.483	B.1.1.483	WT
B.1.1.484	B.1.1.484	WT
B.1.1.485	B.1.1.485	WT
B.1.1.486	B.1.1.486	WT
B.1.1.487	B.1.1.487	WT
B.1.1.49	B.1.1.49	WT
B.1.1.5	B.1.1.5	WT
B.1.1.50	B.1.1.50	WT
B.1.1.500	B.1.1.500	WT
B.1.1.506	B.1.1.506	WT
B.1.1.507	B.1.1.507	WT
B.1.1.51	B.1.1.51	WT
B.1.1.512	B.1.1.512	WT
B.1.1.513	B.1.1.513	WT
B.1.1.514	B.1.1.514	WT
B.1.1.515	B.1.1.515	WT
B.1.1.516	B.1.1.516	WT
B.1.1.517	B.1.1.517	WT
B.1.1.518	B.1.1.518	WT
B.1.1.519	B.1.1.519	WT
B.1.1.52	B.1.1.52	WT
B.1.1.521	B.1.1.521	WT
B.1.1.522	B.1.1.522	WT
B.1.1.523	B.1.1.523	WT
B.1.1.524	B.1.1.524	WT
B.1.1.525	B.1.1.525	WT
B.1.1.526	B.1.1.526	WT
B.1.1.528	B.1.1.528	WT
B.1.1.529	B.1.1.529	WT
BA.1	B.1.1.529.1	BA.1
BA.1.1	B.1.1.529.1.1	BA.1
BA.1.1.1	B.1.1.529.1.1.1	BA.1
BC.1	B.1.1.529.1.1.1.1	BA.1
BC.2	B.1.1.529.1.1.1.2	BA.1
BA.1.1.10	B.1.1.529.1.1.10	BA.1
BA.1.1.11	B.1.1.529.1.1.11	BA.1
BA.1.1.12	B.1.1.529.1.1.12	BA.1
BA.1.1.13	B.1.1.529.1.1.13	BA.1
BA.1.1.14	B.1.1.529.1.1.14	BA.1
BA.1.1.15	B.1.1.529.1.1.15	BA.1
BA.1.1.16	B.1.1.529.1.1.16	BA.1
BA.1.1.17	B.1.1.529.1.1.17	BA.1
BA.1.1.18	B.1.1.529.1.1.18	BA.1
BA.1.1.2	B.1.1.529.1.1.2	BA.1
BA.1.1.3	B.1.1.529.1.1.3	BA.1
BA.1.1.4	B.1.1.529.1.1.4	BA.1
BA.1.1.5	B.1.1.529.1.1.5	BA.1
BA.1.1.6	B.1.1.529.1.1.6	BA.1
BA.1.1.7	B.1.1.529.1.1.7	BA.1
BA.1.1.8	B.1.1.529.1.1.8	BA.1
BA.1.1.9	B.1.1.529.1.1.9	BA.1
BA.1.10	B.1.1.529.1.10	BA.1
BA.1.12	B.1.1.529.1.12	BA.1
BA.1.13	B.1.1.529.1.13	BA.1
BA.1.13.1	B.1.1.529.1.13.1	BA.1
BA.1.14	B.1.1.529.1.14	BA.1
BA.1.14.1	B.1.1.529.1.14.1	BA.1
BA.1.14.2	B.1.1.529.1.14.2	BA.1
BA.1.15	B.1.1.529.1.15	BA.1
BA.1.15.1	B.1.1.529.1.15.1	BA.1
BA.1.15.2	B.1.1.529.1.15.2	BA.1
BA.1.15.3	B.1.1.529.1.15.3	BA.1
BA.1.16	B.1.1.529.1.16	BA.1
BA.1.16.1	B.1.1.529.1.16.1	BA.1
BA.1.16.2	B.1.1.529.1.16.2	BA.1
BA.1.17	B.1.1.529.1.17	BA.1
BA.1.17.1	B.1.1.529.1.17.1	BA.1
BA.1.17.2	B.1.1.529.1.17.2	BA.1
BD.1	B.1.1.529.1.17.2.1	BA.1
BA.1.18	B.1.1.529.1.18	BA.1
BA.1.19	B.1.1.529.1.19	BA.1
BA.1.2	B.1.1.529.1.2	BA.1
BA.1.20	B.1.1.529.1.20	BA.1
BA.1.21	B.1.1.529.1.21	BA.1
BA.1.21.1	B.1.1.529.1.21.1	BA.1
BA.1.22	B.1.1.529.1.22	BA.1
BA.1.23	B.1.1.529.1.23	BA.1
BA.1.24	B.1.1.529.1.24	BA.1
BA.1.3	B.1.1.529.1.3	BA.1
BA.1.4	B.1.1.529.1.4	BA.1
BA.1.5	B.1.1.529.1.5	BA.1
BA.1.6	B.1.1.529.1.6	BA.1
BA.1.7	B.1.1.529.1.7	BA.1
BA.1.8	B.1.1.529.1.8	BA.1
BA.1.9	B.1.1.529.1.9	BA.1
BA.2	B.1.1.529.2	BA.2
BA.2.1	B.1.1.529.2.1	BA.2
BA.2.10	B.1.1.529.2.10	BA.2
BA.2.10.1	B.1.1.529.2.10.1	BA.2
BJ.1	B.1.1.529.2.10.1.1	BA.2
BA.2.10.2	B.1.1.529.2.10.2	BA.2
BA.2.10.3	B.1.1.529.2.10.3	BA.2
BA.2.10.4	B.1.1.529.2.10.4	BA.2
BA.2.11	B.1.1.529.2.11	BA.2
BA.2.12	B.1.1.529.2.12	BA.2
BA.2.12.1	B.1.1.529.2.12.1	BA.2
BG.1	B.1.1.529.2.12.1.1	BA.2
BG.2	B.1.1.529.2.12.1.2	BA.2
BG.3	B.1.1.529.2.12.1.3	BA.2
BG.4	B.1.1.529.2.12.1.4	BA.2
BG.5	B.1.1.529.2.12.1.5	BA.2
BG.6	B.1.1.529.2.12.1.6	BA.2
BG.7	B.1.1.529.2.12.1.7	BA.2
BA.2.12.2	B.1.1.529.2.12.2	BA.2
BA.2.13	B.1.1.529.2.13	BA.2
BA.2.13.1	B.1.1.529.2.13.1	BA.2
BA.2.14	B.1.1.529.2.14	BA.2
BA.2.15	B.1.1.529.2.15	BA.2
BA.2.16	B.1.1.529.2.16	BA.2
BA.2.17	B.1.1.529.2.17	BA.2
BA.2.18	B.1.1.529.2.18	BA.2
BA.2.19	B.1.1.529.2.19	BA.2
BA.2.2	B.1.1.529.2.2	BA.2
BA.2.2.1	B.1.1.529.2.2.1	BA.2
BA.2.20	B.1.1.529.2.20	BA.2
BA.2.21	B.1.1.529.2.21	BA.2
BA.2.22	B.1.1.529.2.22	BA.2
BA.2.23	B.1.1.529.2.23	BA.2
BA.2.23.1	B.1.1.529.2.23.1	BA.2
BA.2.24	B.1.1.529.2.24	BA.2
BA.2.25	B.1.1.529.2.25	BA.2
BA.2.25.1	B.1.1.529.2.25.1	BA.2
BA.2.26	B.1.1.529.2.26	BA.2
BA.2.27	B.1.1.529.2.27	BA.2
BA.2.28	B.1.1.529.2.28	BA.2
BA.2.29	B.1.1.529.2.29	BA.2
BA.2.3	B.1.1.529.2.3	BA.2
BA.2.3.1	B.1.1.529.2.3.1	BA.2
BA.2.3.10	B.1.1.529.2.3.10	BA.2
BA.2.3.11	B.1.1.529.2.3.11	BA.2
BA.2.3.12	B.1.1.529.2.3.12	BA.2
BA.2.3.13	B.1.1.529.2.3.13	BA.2
BA.2.3.14	B.1.1.529.2.3.14	BA.2
BA.2.3.15	B.1.1.529.2.3.15	BA.2
BA.2.3.16	B.1.1.529.2.3.16	BA.2
BP.1	B.1.1.529.2.3.16.1	BA.2
BA.2.3.17	B.1.1.529.2.3.17	BA.2
BA.2.3.18	B.1.1.529.2.3.18	BA.2
BA.2.3.19	B.1.1.529.2.3.19	BA.2
BA.2.3.2	B.1.1.529.2.3.2	BA.2
BS.1	B.1.1.529.2.3.2.1	BA.2
BS.1.1	B.1.1.529.2.3.2.1.1	BA.2
BS.1.2	B.1.1.529.2.3.2.1.2	BA.2
BA.2.3.20	B.1.1.529.2.3.20	BA.2
CM.1	B.1.1.529.2.3.20.1	BA.2
CM.10	B.1.1.529.2.3.20.10	BA.2
CM.11	B.1.1.529.2.3.20.11	BA.2
CM.12	B.1.1.529.2.3.20.12	BA.2
CM.2	B.1.1.529.2.3.20.2	BA.2
CM.2.1	B.1.1.529.2.3.20.2.1	BA.2
CM.3	B.1.1.529.2.3.20.3	BA.2
CM.4	B.1.1.529.2.3.20.4	BA.2
CM.4.1	B.1.1.529.2.3.20.4.1	BA.2
CM.5	B.1.1.529.2.3.20.5	BA.2
CM.5.1	B.1.1.529.2.3.20.5.1	BA.2
CM.5.2	B.1.1.529.2.3.20.5.2	BA.2
CM.6	B.1.1.529.2.3.20.6	BA.2
CM.6.1	B.1.1.529.2.3.20.6.1	BA.2
CM.7	B.1.1.529.2.3.20.7	BA.2
CM.7.1	B.1.1.529.2.3.20.7.1	BA.2
CM.7.1.1	B.1.1.529.2.3.20.7.1	BA.2
CM.8	B.1.1.529.2.3.20.8	BA.2
CM.8.1	B.1.1.529.2.3.20.8.1	BA.2
CM.8.1.1	B.1.1.529.2.3.20.8.1.1	BA.2
FV.1	B.1.1.529.2.3.20.8.1.1.1	BA.2
CM.8.1.2	B.1.1.529.2.3.20.8.1.2	BA.2
CM.8.1.3	B.1.1.529.2.3.20.8.1.3	BA.2
CM.8.1.4	B.1.1.529.2.3.20.8.1.4	BA.2
CM.8.1.5	B.1.1.529.2.3.20.8.1.5	BA.2
CM.9	B.1.1.529.2.3.20.9	BA.2
BA.2.3.21	B.1.1.529.2.3.21	BA.2
DD.1	B.1.1.529.2.3.21.1	BA.2
BA.2.3.22	B.1.1.529.2.3.22	BA.2
BA.2.3.4	B.1.1.529.2.3.4	BA.2
BA.2.3.5	B.1.1.529.2.3.5	BA.2
BA.2.3.6	B.1.1.529.2.3.6	BA.2
BA.2.3.7	B.1.1.529.2.3.7	BA.2
BA.2.3.8	B.1.1.529.2.3.8	BA.2
BA.2.3.9	B.1.1.529.2.3.9	BA.2
BA.2.30	B.1.1.529.2.30	BA.2
BA.2.31	B.1.1.529.2.31	BA.2
BA.2.31.1	B.1.1.529.2.31.1	BA.2
BA.2.32	B.1.1.529.2.32	BA.2
BA.2.33	B.1.1.529.2.33	BA.2
BA.2.34	B.1.1.529.2.34	BA.2
BA.2.35	B.1.1.529.2.35	BA.2
BA.2.36	B.1.1.529.2.36	BA.2
BA.2.37	B.1.1.529.2.37	BA.2
BA.2.38	B.1.1.529.2.38	BA.2
BA.2.38.1	B.1.1.529.2.38.1	BA.2
BA.2.38.2	B.1.1.529.2.38.2	BA.2
BA.2.38.3	B.1.1.529.2.38.3	BA.2
BH.1	B.1.1.529.2.38.3.1	BA.2
BA.2.38.4	B.1.1.529.2.38.4	BA.2
BA.2.39	B.1.1.529.2.39	BA.2
BA.2.4	B.1.1.529.2.4	BA.2
BA.2.40	B.1.1.529.2.40	BA.2
BA.2.40.1	B.1.1.529.2.40.1	BA.2
BA.2.41	B.1.1.529.2.41	BA.2
BA.2.42	B.1.1.529.2.42	BA.2
BA.2.43	B.1.1.529.2.43	BA.2
BA.2.44	B.1.1.529.2.44	BA.2
BA.2.45	B.1.1.529.2.45	BA.2
BA.2.46	B.1.1.529.2.46	BA.2
BA.2.47	B.1.1.529.2.47	BA.2
BA.2.48	B.1.1.529.2.48	BA.2
BA.2.49	B.1.1.529.2.49	BA.2
BA.2.5	B.1.1.529.2.5	BA.2
BA.2.50	B.1.1.529.2.50	BA.2
BA.2.51	B.1.1.529.2.51	BA.2
BA.2.52	B.1.1.529.2.52	BA.2
BA.2.53	B.1.1.529.2.53	BA.2
BA.2.54	B.1.1.529.2.54	BA.2
BA.2.55	B.1.1.529.2.55	BA.2
BA.2.56	B.1.1.529.2.56	BA.2
BA.2.56.1	B.1.1.529.2.56.1	BA.2
BA.2.57	B.1.1.529.2.57	BA.2
BA.2.58	B.1.1.529.2.58	BA.2
BA.2.59	B.1.1.529.2.59	BA.2
BA.2.6	B.1.1.529.2.6	BA.2
BA.2.60	B.1.1.529.2.60	BA.2
BA.2.61	B.1.1.529.2.61	BA.2
BA.2.62	B.1.1.529.2.62	BA.2
BA.2.63	B.1.1.529.2.63	BA.2
BA.2.64	B.1.1.529.2.64	BA.2
BA.2.65	B.1.1.529.2.65	BA.2
BA.2.66	B.1.1.529.2.66	BA.2
BA.2.67	B.1.1.529.2.67	BA.2
BA.2.68	B.1.1.529.2.68	BA.2
BA.2.69	B.1.1.529.2.69	BA.2
BA.2.7	B.1.1.529.2.7	BA.2
BA.2.70	B.1.1.529.2.70	BA.2
BA.2.71	B.1.1.529.2.71	BA.2
BA.2.72	B.1.1.529.2.72	BA.2
BA.2.73	B.1.1.529.2.73	BA.2
BA.2.74	B.1.1.529.2.74	BA.2
BA.2.75	B.1.1.529.2.75	BA.2
BA.2.75.1	B.1.1.529.2.75.1	BA.2
BL.1	B.1.1.529.2.75.1.1	BA.2
BL.1.1	B.1.1.529.2.75.1.1.1	BA.2
BL.1.2	B.1.1.529.2.75.1.1.2	BA.2
BL.1.3	B.1.1.529.2.75.1.1.3	BA.2
BL.1.4	B.1.1.529.2.75.1.1.4	BA.2
BL.1.5	B.1.1.529.2.75.1.1.5	BA.2
BL.2	B.1.1.529.2.75.1.2	BA.2
BL.2.1	B.1.1.529.2.75.1.2.1	BA.2
BL.3	B.1.1.529.2.75.1.3	BA.2
BL.4	B.1.1.529.2.75.1.4	BA.2
BL.5	B.1.1.529.2.75.1.5	BA.2
BL.6	B.1.1.529.2.75.1.6	BA.2
BA.2.75.10	B.1.1.529.2.75.10	BA.2
BA.2.75.2	B.1.1.529.2.75.2	BA.2
CA.1	B.1.1.529.2.75.2.1	BA.2
CA.2	B.1.1.529.2.75.2.2	BA.2
CA.3	B.1.1.529.2.75.2.3	BA.2
CA.3.1	B.1.1.529.2.75.2.3.1	BA.2
CA.4	B.1.1.529.2.75.2.4	BA.2
CA.5	B.1.1.529.2.75.2.5	BA.2
CA.6	B.1.1.529.2.75.2.6	BA.2
CA.7	B.1.1.529.2.75.2.7	BA.2
BA.2.75.3	B.1.1.529.2.75.3	BA.2
BM.1	B.1.1.529.2.75.3.1	BA.2
BM.1.1	B.1.1.529.2.75.3.1.1	BA.2
BM.1.1.1	B.1.1.529.2.75.3.1.1.1	BA.2
CJ.1	B.1.1.529.2.75.3.1.1.1.1	BA.2
CJ.1.1	B.1.1.529.2.75.3.1.1.1.1.1	BA.2
CJ.1.2	B.1.1.529.2.75.3.1.1.1.1.2	BA.2
CJ.1.3	B.1.1.529.2.75.3.1.1.1.1.3	BA.2
CJ.1.3.1	B.1.1.529.2.75.3.1.1.1.1.3.1	BA.2
CJ.1.3.2	B.1.1.529.2.75.3.1.1.1.1.3.2	BA.2
BM.1.1.2	B.1.1.529.2.75.3.1.1.2	BA.2
BM.1.1.3	B.1.1.529.2.75.3.1.1.3	BA.2
CV.1	B.1.1.529.2.75.3.1.1.3.1	BA.2
CV.2	B.1.1.529.2.75.3.1.1.3.2	BA.2
BM.1.1.4	B.1.1.529.2.75.3.1.1.4	BA.2
EP.1	B.1.1.529.2.75.3.1.1.4.1	BA.2
EP.1.1	B.1.1.529.2.75.3.1.1.4.1.1	BA.2
EP.1.1.1	B.1.1.529.2.75.3.1.1.4.1.1.1	BA.2
EP.2	B.1.1.529.2.75.3.1.1.4.2	BA.2
BM.1.1.5	B.1.1.529.2.75.3.1.1.5	BA.2
BM.2	B.1.1.529.2.75.3.2	BA.2
BM.2.1	B.1.1.529.2.75.3.2.1	BA.2
BM.2.2	B.1.1.529.2.75.3.2.2	BA.2
BM.2.3	B.1.1.529.2.75.3.2.3	BA.2
BM.3	B.1.1.529.2.75.3.3	BA.2
BM.4	B.1.1.529.2.75.3.4	BA.2
BM.4.1	B.1.1.529.2.75.3.4.1	BA.2
BM.4.1.1	B.1.1.529.2.75.3.4.1.1	BA.2
CH.1	B.1.1.529.2.75.3.4.1.1.1	BA.2
CH.1.1	B.1.1.529.2.75.3.4.1.1.1.1	BA.2
CH.1.1.1	B.1.1.529.2.75.3.4.1.1.1.1.1	BA.2
DV.1	B.1.1.529.2.75.3.4.1.1.1.1.1.1	BA.2
DV.1.1	B.1.1.529.2.75.3.4.1.1.1.1.1.1.1	BA.2
DV.2	B.1.1.529.2.75.3.4.1.1.1.1.1.2	BA.2
DV.3	B.1.1.529.2.75.3.4.1.1.1.1.1.3	BA.2
DV.3.1	B.1.1.529.2.75.3.4.1.1.1.1.1.3.1	BA.2
DV.4	B.1.1.529.2.75.3.4.1.1.1.1.1.4	BA.2
DV.5	B.1.1.529.2.75.3.4.1.1.1.1.1.5	BA.2
DV.6	B.1.1.529.2.75.3.4.1.1.1.1.1.6	BA.2
DV.6.1	B.1.1.529.2.75.3.4.1.1.1.1.1.6.1	BA.2
DV.6.2	B.1.1.529.2.75.3.4.1.1.1.1.1.6.2	BA.2
DV.7	B.1.1.529.2.75.3.4.1.1.1.1.1.7	BA.2
DV.7.1	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1	BA.2
DV.7.1.1	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.1	BA.2
DV.7.1.2	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.2	BA.2
JV.1	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.2.1	BA.2
JV.2	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.2.2	BA.2
DV.7.1.3	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.3	BA.2
DV.7.1.4	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.4	BA.2
DV.7.1.5	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.5	BA.2
KG.1	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.5.1	BA.2
KG.2	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.5.2	BA.2
DV.7.1.6	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.6	BA.2
DV.7.1.7	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.7	BA.2
DV.7.1.8	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.8	BA.2
DV.7.1.9	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.9	BA.2
DV.7.2	B.1.1.529.2.75.3.4.1.1.1.1.1.7.2	BA.2
DV.8	B.1.1.529.2.75.3.4.1.1.1.1.1.8	BA.2
CH.1.1.10	B.1.1.529.2.75.3.4.1.1.1.1.10	BA.2
CH.1.1.11	B.1.1.529.2.75.3.4.1.1.1.1.11	BA.2
GP.1	B.1.1.529.2.75.3.4.1.1.1.1.11.1	BA.2
GP.2	B.1.1.529.2.75.3.4.1.1.1.1.11.2	BA.2
GP.3	B.1.1.529.2.75.3.4.1.1.1.1.11.3	BA.2
CH.1.1.12	B.1.1.529.2.75.3.4.1.1.1.1.12	BA.2
FS.1	B.1.1.529.2.75.3.4.1.1.1.1.12.1	BA.2
CH.1.1.13	B.1.1.529.2.75.3.4.1.1.1.1.13	BA.2
CH.1.1.14	B.1.1.529.2.75.3.4.1.1.1.1.14	BA.2
CH.1.1.15	B.1.1.529.2.75.3.4.1.1.1.1.15	BA.2
CH.1.1.16	B.1.1.529.2.75.3.4.1.1.1.1.16	BA.2
CH.1.1.17	B.1.1.529.2.75.3.4.1.1.1.1.17	BA.2
FK.1	B.1.1.529.2.75.3.4.1.1.1.1.17.1	BA.2
FK.1.1	B.1.1.529.2.75.3.4.1.1.1.1.17.1.1	BA.2
FK.1.1.1	B.1.1.529.2.75.3.4.1.1.1.1.17.1.1.1	BA.2
FK.1.1.2	B.1.1.529.2.75.3.4.1.1.1.1.17.1.1.2	BA.2
FK.1.2	B.1.1.529.2.75.3.4.1.1.1.1.17.1.2	BA.2
FK.1.2.1	B.1.1.529.2.75.3.4.1.1.1.1.17.1.2.1	BA.2
FK.1.2.2	B.1.1.529.2.75.3.4.1.1.1.1.17.1.2.2	BA.2
FK.1.3	B.1.1.529.2.75.3.4.1.1.1.1.17.1.3	BA.2
FK.1.3.1	B.1.1.529.2.75.3.4.1.1.1.1.17.1.3.1	BA.2
FK.1.3.2	B.1.1.529.2.75.3.4.1.1.1.1.17.1.3.2	BA.2
JL.1	B.1.1.529.2.75.3.4.1.1.1.1.17.1.3.2.1	BA.2
FK.1.4	B.1.1.529.2.75.3.4.1.1.1.1.17.1.4	BA.2
FK.1.4.1	B.1.1.529.2.75.3.4.1.1.1.1.17.1.4.1	BA.2
FK.1.5	B.1.1.529.2.75.3.4.1.1.1.1.17.1.5	BA.2
CH.1.1.18	B.1.1.529.2.75.3.4.1.1.1.1.18	BA.2
CH.1.1.19	B.1.1.529.2.75.3.4.1.1.1.1.19	BA.2
FJ.1	B.1.1.529.2.75.3.4.1.1.1.1.19.1	BA.2
CH.1.1.2	B.1.1.529.2.75.3.4.1.1.1.1.2	BA.2
CH.1.1.20	B.1.1.529.2.75.3.4.1.1.1.1.20	BA.2
CH.1.1.21	B.1.1.529.2.75.3.4.1.1.1.1.21	BA.2
CH.1.1.22	B.1.1.529.2.75.3.4.1.1.1.1.22	BA.2
CH.1.1.23	B.1.1.529.2.75.3.4.1.1.1.1.23	BA.2
CH.1.1.24	B.1.1.529.2.75.3.4.1.1.1.1.24	BA.2
CH.1.1.25	B.1.1.529.2.75.3.4.1.1.1.1.25	BA.2
CH.1.1.26	B.1.1.529.2.75.3.4.1.1.1.1.26	BA.2
CH.1.1.27	B.1.1.529.2.75.3.4.1.1.1.1.27	BA.2
CH.1.1.28	B.1.1.529.2.75.3.4.1.1.1.1.28	BA.2
CH.1.1.29	B.1.1.529.2.75.3.4.1.1.1.1.29	BA.2
CH.1.1.3	B.1.1.529.2.75.3.4.1.1.1.1.3	BA.2
GQ.1	B.1.1.529.2.75.3.4.1.1.1.1.3.1	BA.2
GQ.1.1	B.1.1.529.2.75.3.4.1.1.1.1.3.1.1	BA.2
CH.1.1.30	B.1.1.529.2.75.3.4.1.1.1.1.30	BA.2
CH.1.1.31	B.1.1.529.2.75.3.4.1.1.1.1.31	BA.2
JP.1	B.1.1.529.2.75.3.4.1.1.1.1.31.1	BA.2
JP.1.1	B.1.1.529.2.75.3.4.1.1.1.1.31.1.1	BA.2
CH.1.1.32	B.1.1.529.2.75.3.4.1.1.1.1.32	BA.2
CH.1.1.4	B.1.1.529.2.75.3.4.1.1.1.1.4	BA.2
CH.1.1.5	B.1.1.529.2.75.3.4.1.1.1.1.5	BA.2
CH.1.1.6	B.1.1.529.2.75.3.4.1.1.1.1.6	BA.2
CH.1.1.7	B.1.1.529.2.75.3.4.1.1.1.1.7	BA.2
CH.1.1.8	B.1.1.529.2.75.3.4.1.1.1.1.8	BA.2
CH.1.1.9	B.1.1.529.2.75.3.4.1.1.1.1.9	BA.2
CH.2	B.1.1.529.2.75.3.4.1.1.2	BA.2
CH.3	B.1.1.529.2.75.3.4.1.1.3	BA.2
CH.3.1	B.1.1.529.2.75.3.4.1.1.3.1	BA.2
BM.5	B.1.1.529.2.75.3.5	BA.2
BM.6	B.1.1.529.2.75.3.6	BA.2
BA.2.75.4	B.1.1.529.2.75.4	BA.2
BR.1	B.1.1.529.2.75.4.1	BA.2
BR.1.1	B.1.1.529.2.75.4.1.1	BA.2
BR.1.2	B.1.1.529.2.75.4.1.2	BA.2
BR.2	B.1.1.529.2.75.4.2	BA.2
BR.2.1	B.1.1.529.2.75.4.2.1	BA.2
BR.3	B.1.1.529.2.75.4.3	BA.2
BR.4	B.1.1.529.2.75.4.4	BA.2
BR.5	B.1.1.529.2.75.4.5	BA.2
BR.5.1	B.1.1.529.2.75.4.5.1	BA.2
BA.2.75.5	B.1.1.529.2.75.5	BA.2
BN.1	B.1.1.529.2.75.5.1	BA.2
BN.1.1	B.1.1.529.2.75.5.1.1	BA.2
BN.1.1.1	B.1.1.529.2.75.5.1.1.1	BA.2
BN.1.10	B.1.1.529.2.75.5.1.10	BA.2
BN.1.11	B.1.1.529.2.75.5.1.11	BA.2
BN.1.2	B.1.1.529.2.75.5.1.2	BA.2
BN.1.2.1	B.1.1.529.2.75.5.1.2.1	BA.2
BN.1.2.2	B.1.1.529.2.75.5.1.2.2	BA.2
BN.1.2.3	B.1.1.529.2.75.5.1.2.3	BA.2
FR.1	B.1.1.529.2.75.5.1.2.3.1	BA.2
FR.1.1	B.1.1.529.2.75.5.1.2.3.1.1	BA.2
FR.1.2	B.1.1.529.2.75.5.1.2.3.1.2	BA.2
FR.1.3	B.1.1.529.2.75.5.1.2.3.1.3	BA.2
FR.1.4	B.1.1.529.2.75.5.1.2.3.1.4	BA.2
FR.1.5	B.1.1.529.2.75.5.1.2.3.1.5	BA.2
FR.2	B.1.1.529.2.75.5.1.2.3.2	BA.2
BN.1.2.4	B.1.1.529.2.75.5.1.2.4	BA.2
BN.1.2.5	B.1.1.529.2.75.5.1.2.5	BA.2
BN.1.2.6	B.1.1.529.2.75.5.1.2.6	BA.2
BN.1.2.7	B.1.1.529.2.75.5.1.2.7	BA.2
BN.1.2.8	B.1.1.529.2.75.5.1.2.8	BA.2
BN.1.3	B.1.1.529.2.75.5.1.3	BA.2
BN.1.3.1	B.1.1.529.2.75.5.1.3.1	BA.2
DS.1	B.1.1.529.2.75.5.1.3.1.1	BA.2
DS.2	B.1.1.529.2.75.5.1.3.1.2	BA.2
DS.3	B.1.1.529.2.75.5.1.3.1.3	BA.2
BN.1.3.10	B.1.1.529.2.75.5.1.3.10	BA.2
BN.1.3.11	B.1.1.529.2.75.5.1.3.11	BA.2
BN.1.3.12	B.1.1.529.2.75.5.1.3.12	BA.2
BN.1.3.13	B.1.1.529.2.75.5.1.3.13	BA.2
BN.1.3.2	B.1.1.529.2.75.5.1.3.2	BA.2
BN.1.3.3	B.1.1.529.2.75.5.1.3.3	BA.2
BN.1.3.4	B.1.1.529.2.75.5.1.3.4	BA.2
BN.1.3.5	B.1.1.529.2.75.5.1.3.5	BA.2
BN.1.3.6	B.1.1.529.2.75.5.1.3.6	BA.2
BN.1.3.7	B.1.1.529.2.75.5.1.3.7	BA.2
BN.1.3.8	B.1.1.529.2.75.5.1.3.8	BA.2
EJ.1	B.1.1.529.2.75.5.1.3.8.1	BA.2
EJ.2	B.1.1.529.2.75.5.1.3.8.2	BA.2
EJ.3	B.1.1.529.2.75.5.1.3.8.3	BA.2
BN.1.3.9	B.1.1.529.2.75.5.1.3.9	BA.2
BN.1.4	B.1.1.529.2.75.5.1.4	BA.2
BN.1.4.1	B.1.1.529.2.75.5.1.4.1	BA.2
BN.1.4.2	B.1.1.529.2.75.5.1.4.2	BA.2
BN.1.4.3	B.1.1.529.2.75.5.1.4.3	BA.2
BN.1.4.4	B.1.1.529.2.75.5.1.4.4	BA.2
